Date,phi,A,theta,M,ret,vol,event_next
2000-03-06,7.237979486757085,7.240791672910208,0.002812186153123619,0.01935464915079156,-0.012776701994210882,0.013410904298410322,1
2000-03-07,7.212014189636795,7.239663144154388,0.027648954517593083,0.02014458299524885,-0.0259652971202895,0.014504249617696507,0
2000-03-08,7.220154318243729,7.238898092157892,0.01874377391416271,0.02001117260657398,0.008140128606934027,0.014315407306060004,0
2000-03-09,7.2454338886471525,7.239154397902569,0.006279490744583782,0.018703393381622534,0.025279570403423435,0.01492174374414088,0
2000-03-10,7.240699833707468,7.239215003228251,0.0014848304792165479,0.017063530248060062,-0.0047340549396848175,0.014921504873076257,0
2000-03-13,7.232458528474338,7.23895004343398,0.00649151495964162,0.01605667164916307,-0.008241305233129381,0.014254895327747104,1
2000-03-14,7.214614801298922,7.237995720212997,0.02338091891407501,0.016754219007726112,-0.017843727175415935,0.01477968330319153,0
2000-03-15,7.2385974210719555,7.238019316325113,0.0005781047468422784,0.015213636697165748,0.023982619773033065,0.0156824198730979,0
2000-03-16,7.285143199931007,7.239867311760639,0.04527588817036765,0.01807670826604212,0.04654577885905109,0.01865441648251035,0
2000-03-17,7.289248661245765,7.2418038352698595,0.047444825975905935,0.02087367185745772,0.0041054613147588626,0.018651146924062775,0
2000-03-20,7.283880830832131,7.243453913527204,0.0404269173049272,0.02273588570959767,-0.005367830413634422,0.017041873587397668,0
2000-03-21,7.309125343912627,7.2460292637383965,0.06309608017423063,0.026579713753848426,0.025244513080496134,0.01769610421107705,0
2000-03-22,7.313646972522088,7.248680938592659,0.06496603392942912,0.030235553770570398,0.004521628609460926,0.017693684222865658,0
2000-03-23,7.33128947056659,7.251920488866147,0.07936898170044326,0.03491492785912972,0.01764249804450202,0.017739897460127507,0
2000-03-24,7.331361478549996,7.255035821794926,0.07632565675507053,0.03885880680160027,7.200798340623038e-05,0.017111740703225867,0
2000-03-27,7.329001858897101,7.257936450700894,0.07106540819620655,0.041926102172515155,-0.0023596196528954394,0.01720012955510513,0
